acronym,color_hex_triplet,graph_order,id,name,parent_structure_id,ontology_prefix
NP,#D7D8D8,0,DHBA:10153,neural plate,,DHBA
NT,#D0D0D1,1,DHBA:10154,neural tube,DHBA:10153,DHBA
Br,#E0E0E0,2,DHBA:10155,brain,DHBA:10154,DHBA
F,#EBD6D0,3,DHBA:10156,forebrain (prosencephalon),DHBA:10155,DHBA
FGM,#EBD6D0,4,DHBA:10157,gray matter of forebrain,DHBA:10156,DHBA
FTS,#E3D6D7,5,DHBA:10506,transient structures of forebrain,DHBA:10157,DHBA
SG,#81696B,6,DHBA:11580,subpial granular zone,DHBA:10506,DHBA
fSG,#8D762D,7,DHBA:11581,SG in frontal neocortex,DHBA:11580,DHBA
fSGfp,#806D2C,8,DHBA:11587,SG in frontal polar cortex,DHBA:11581,DHBA
fSGdm,#806D2C,9,DHBA:11582,SG in dorsomedial frontal cortex,DHBA:11581,DHBA
fSGdl,#806D2C,10,DHBA:11585,SG in dorsolateral prefrontal cortex,DHBA:11581,DHBA
fSGvl,#806D2C,11,DHBA:11586,SG in ventrolateral prefrontal cortex,DHBA:11581,DHBA
fSGor,#8E712C,12,DHBA:11583,SG in orbital frontal cortex,DHBA:11581,DHBA
fSGm1,#7B7248,13,DHBA:11584,SG in posterior frontal cortex (motor cortex),DHBA:11581,DHBA
pSG,#AE7B2C,14,DHBA:11593,SG in parietal neocortex,DHBA:11580,DHBA
pSGs1,#B45D27,15,DHBA:11594,SG in primary somatosensory cortex,DHBA:11593,DHBA
pSGdm,#AE7B2C,16,DHBA:11597,SG in dorsomedial parietal cortex (area 7m),DHBA:11593,DHBA
pSGpd,#AE7B2C,17,DHBA:11595,SG in posterosuperior (dorsal) parietal cortex,DHBA:11593,DHBA
pSGpv,#AE7B2C,18,DHBA:11596,SG in posteroinferior (ventral) parietal cortex,DHBA:11593,DHBA
tSG,#A74677,19,DHBA:11598,SG in temporal neocortex,DHBA:11580,DHBA
tSGdl,#A74677,20,DHBA:15498,SG in dorsolateral temporal cortex,DHBA:11598,DHBA
tSGa1,#A74677,21,DHBA:11599,SG in primary auditory cortex,DHBA:15498,DHBA
