variable_name,short_name,full_name,value_type,required,parent_id,parent_name,min,max,numeric_type,step,unit,dependent_name,options (format: code1/#/label1/#/description1|code2/#/label2/#/description2)|,modifier,deleted,search_terms,selectivity,modifier_type,level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Donor,Donor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
donor_local_name,Donor local name,Donor local name,text,Yes,,Donor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
project_identifier,The project this donor is for,The project this donor is for,text,Yes,,Tissue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_at_death_value,Age at death value,Age at death value,numeric,No,,Donor,,,decimal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_at_death_unit,Age at death unit,Age at death unit,categorical,No,,Donor,,,,,,,day/#/day/#/|month/#/month/#/|year/#/year/#/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_at_death_reference_point,Age at death reference point,Age at death reference point,text,No,,Donor,,,,,,,birth/#/birth/#/|conception/#/conception/#/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_at_death_description,Age at death description,Age at death description,text,No,,Donor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
donor_species,Donor species,Donor species,categorical,Yes,,Donor,,,,,,,NCBITaxon:9606/#/Homo sapiens/#/human|NCBITaxon:9606/#/Homo sapiens/#/human developmental|NCBITaxon:9483/#/Callithrix jacchus/#/common marmoset|NCBITaxon:10090/#/Mus musculus/#/mouse|NCBITaxon:9544/#/ Macaca mulatta/#/rhesus macaque|NCBITaxon:60711/#/Chlorocebus sabaeus/#/green monkey|NCBITaxon:9999/#/Urocitellus parryii/#/Arctic ground squirrel|NCBITaxon:9361/#/Dasypus novemcinctus/#/nine-banded armadillo|NCBITaxon:9598/#/Pan troglodytes/#/chimpanzee|NCBITaxon:9669/#/Mustela putorius furo/#/ferret|NCBITaxon:9593/#/Gorilla gorilla/#/western gorilla|NCBITaxon:9545/#/Macaca nemestrina/#/pig-tailed macaque|NCBITaxon:13616/#/Monodelphis domestica/#/gray short-tailed opossum|NCBITaxon:9986/#/Oryctolagus cuniculus/#/rabbit|NCBITaxon:10116/#/Rattus norvegicus/#/rat|NCBITaxon:9541/#/Macaca fascicularis/#/crab-eating macaque|NCBITaxon:9534/#/Chlorocebus aethiops/#/grivet|NCBITaxon:9614/#/Canis latrans/#/coyote|NCBITaxon:9555/#/Papio anubis/#/olive baboon|NCBITaxon:27679/#/Saimiri boliviensis/#/black-capped squirrel monkey|NCBITaxon:9521/#/Saimiri sciureus/#/squirrel monkey|NCBITaxon:30608/#/Microcebus murinus/#/mouse lemur|NCBITaxon:37293/#/Aotus nancymaae/#/owl monkey|NCBITaxon:37347/#/Tupaia belangeri/#/treeshrew|NCBITaxon:10181/#/Heterocephalus glaber/#/naked mole rat|NCBITaxon:9823/#/Sus scrofa/#/pig|NCBITaxon:9685/#/Felis catus/#/cat|NCBITaxon:9742/#/Phocoena phocoena/#/harbour porpoise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
biological_sex,Biological Sex,Biological sex,categorical,No,,Donor,,,,,,,Male/#/Male/#/|Female/#/Female/#/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tissue,Tissue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
