enriched_cell_sample_local_name,enriched_cell_sample_cell_label_barcode,enriched_cell_sample_preparation_date,project_identifier
M1XM_230620_241-R_A01,,,UM1MH130981 - Ed Lein
M1XM_230620_241-A_A01,,,UM1MH130981 - Ed Lein
M1XM_230616_241-A_C01,,,UM1MH130981 - Ed Lein
M1XM_230616_241-R_C01,,,UM1MH130981 - Ed Lein
M1XM_230614_226-A_A01,,,UM1MH130981 - Ed Lein
M1XM_230614_226-R_A01,,,UM1MH130981 - Ed Lein
M1XM_230616_241-A_B01,,,UM1MH130981 - Ed Lein
M1XM_230616_241-R_B01,,,UM1MH130981 - Ed Lein
M2XM_230512_211-A_D01,,,U01MH130962 - Paola Arlotta
M2XM_230512_211-R_D01,,,U01MH130962 - Paola Arlotta
M1XM_230612_241-A_B01,,,UM1MH130981 - Ed Lein
M1XM_230612_241-R_B01,,,UM1MH130981 - Ed Lein
M1XM_230612_241-R_A01,,,UM1MH130981 - Ed Lein
M1XM_230612_241-A_A01,,,UM1MH130981 - Ed Lein
M1XM_230616_241-R_A01,,,UM1MH130981 - Ed Lein
M1XM_230616_241-A_A01,,,UM1MH130981 - Ed Lein
M1XM_230620_241-R_B01,,,UM1MH130981 - Ed Lein
M1XM_230620_241-A_B01,,,UM1MH130981 - Ed Lein
