library_local_name,library_technique,library_r1_r2_index,library_preparation_date,library_additional_commnents,library_source_type,barcoded_cell_sample_local_name,amplified_cdna_local_name,project_identifier
L8XR_230629_22_G11,GEXMultiome,SI-TT-G11,2023-06-29,,amplified_cdna,,A8XR_230627_01_A01,UM1MH130981 - Ed Lein
L8XR_230622_22_A10,GEXMultiome,SI-TT-A10,2023-06-22,,amplified_cdna,,A8XR_230620_02_F01,UM1MH130981 - Ed Lein
L8XR_230622_22_B10,GEXMultiome,SI-TT-B10,2023-06-22,,amplified_cdna,,A8XR_230620_02_C01,UM1MH130981 - Ed Lein
L8XR_230622_22_H09,GEXMultiome,SI-TT-H9,2023-06-22,,amplified_cdna,,A8XR_230620_02_E01,UM1MH130981 - Ed Lein
L8XR_230518_21_G01,GEXMultiome,SI-TT-G1,2023-05-18,,amplified_cdna,,A8XR_230516_01_G01,U01MH130962 - Paola Arlotta
L8XR_230615_22_H08,GEXMultiome,SI-TT-H8,2023-06-15,,amplified_cdna,,A8XR_230613_01_F01,UM1MH130981 - Ed Lein
L8XR_230615_22_G08,GEXMultiome,SI-TT-G8,2023-06-15,,amplified_cdna,,A8XR_230613_01_E01,UM1MH130981 - Ed Lein
L8XR_230622_22_G09,GEXMultiome,SI-TT-G9,2023-06-22,,amplified_cdna,,A8XR_230620_02_D01,UM1MH130981 - Ed Lein
L8XR_230629_22_H11,GEXMultiome,SI-TT-H11,2023-06-29,,amplified_cdna,,A8XR_230627_01_B01,UM1MH130981 - Ed Lein
L8XA_230627_01_B10,ATACMultiome,SI-NA-B10,2023-06-27,,amplified_cdna,,B8XM_230627_01_A01,UM1MH130981 - Ed Lein
L8XA_230516_01_F05,ATACMultiome,SI-NA-F5,2023-05-16,,amplified_cdna,,B8XM_230516_01_B02,U01MH130962 - Paola Arlotta
L8XA_230620_01_A10,ATACMultiome,SI-NA-A10,2023-06-20,,amplified_cdna,,B8XM_230620_01_F01,UM1MH130981 - Ed Lein
L8XA_230613_01_C09,ATACMultiome,SI-NA-C9,2023-06-13,,amplified_cdna,,B8XM_230613_01_F01,UM1MH130981 - Ed Lein
L8XA_230613_01_B09,ATACMultiome,SI-NA-B9,2023-06-13,,amplified_cdna,,B8XM_230613_01_E01,UM1MH130981 - Ed Lein
L8XA_230620_01_H09,ATACMultiome,SI-NA-H9,2023-06-20,,amplified_cdna,,B8XM_230620_01_E01,UM1MH130981 - Ed Lein
L8XA_230620_01_G09,ATACMultiome,SI-NA-G9,2023-06-20,,amplified_cdna,,B8XM_230620_01_D01,UM1MH130981 - Ed Lein
L8XA_230620_01_F09,ATACMultiome,SI-NA-F9,2023-06-20,,amplified_cdna,,B8XM_230620_01_A01,UM1MH130981 - Ed Lein
L8XA_230627_01_C10,ATACMultiome,SI-NA-C10,2023-06-27,,amplified_cdna,,B8XM_230627_01_B01,UM1MH130981 - Ed Lein
