library_pool_local_name,library_local_name,library_aliquot_local_name
MTX-12002,L8XR_230629_22_G11,NY-MX12002-8
MTX-12002,L8XR_230622_22_A10,NY-MX12002-7
MTX-12002,L8XR_230622_22_B10,NY-MX12002-4
MTX-12002,L8XR_230622_22_H09,NY-MX12002-6
MTX-12002,L8XR_230518_21_G01,NY-MX12002-1
MTX-12002,L8XR_230615_22_H08,NY-MX12002-3
MTX-12002,L8XR_230615_22_G08,NY-MX12002-2
MTX-12002,L8XR_230622_22_G09,NY-MX12002-5
MTX-12002,L8XR_230629_22_H11,NY-MX12002-9
ATX-16002,L8XA_230627_01_B10,NY-AT16002-8
ATX-16002,L8XA_230516_01_F05,NY-AT16002-1
ATX-16002,L8XA_230620_01_A10,NY-AT16002-7
ATX-16002,L8XA_230613_01_C09,NY-AT16002-3
ATX-16002,L8XA_230613_01_B09,NY-AT16002-2
ATX-16002,L8XA_230620_01_H09,NY-AT16002-6
ATX-16002,L8XA_230620_01_G09,NY-AT16002-5
ATX-16002,L8XA_230620_01_F09,NY-AT16002-4
ATX-16002,L8XA_230627_01_C10,NY-AT16002-9
